,name,price,stars,reviews,url
10,OnePlus Y1 100 cm (40 inch) Full HD LED Smart Android TV with Dolby Audio,"₹19,999",4.3,"1,40,176 Ratings & 12,946 Reviews",https://www.flipkart.com/oneplus-y1-100-cm-40-inch-full-hd-led-smart-android-tv-dolby-audio/p/itmdcbd9784403b2?pid=TVSG25MMGB8NKFD8&lid=LSTTVSG25MMGB8NKFD8BZ88HR&marketplace=FLIPKART&q=televisions&store=ckf%2Fczl&srno=s_1_11&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&fm=organic&iid=bfb6e4f6-1359-4203-b5dc-7c83909709a2.TVSG25MMGB8NKFD8.SEARCH&ppt=None&ppn=None&ssid=g56nwhffog0000001674027040066&qH=97d6bdab4ad2b98f
11,Adsun 80 cm (32 inch) HD Ready LED Smart Android Based TV,"₹7,799",3.9,"14,923 Ratings & 2,249 Reviews",https://www.flipkart.com/adsun-80-cm-32-inch-hd-ready-led-smart-android-based-tv/p/itmffmnvy7khsuzx?pid=TVSFFMNVUVNS3SHF&lid=LSTTVSFFMNVUVNS3SHFVWHTAU&marketplace=FLIPKART&q=televisions&store=ckf%2Fczl&srno=s_1_12&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&fm=organic&iid=en_evB9NrYwAbdLazt5ylW7izuX%2FspnaeAEOGROLrDOQjRywSUzgdmyRWWFVgpqDRlnp9uguFefLWXJYlux%2FrZKrg%3D%3D&ppt=None&ppn=None&ssid=g56nwhffog0000001674027040066&qH=97d6bdab4ad2b98f
12,SAMSUNG Crystal 4K 108 cm (43 inch) Ultra HD (4K) LED Smart Tizen TV,"₹29,999",4.4,"12,011 Ratings & 1,232 Reviews",https://www.flipkart.com/samsung-crystal-4k-108-cm-43-inch-ultra-hd-4k-led-smart-tizen-tv/p/itm7dcfb3cc69fbb?pid=TVSG2CG7F2Y9YUJ3&lid=LSTTVSG2CG7F2Y9YUJ39FS3ZI&marketplace=FLIPKART&q=televisions&store=ckf%2Fczl&srno=s_1_13&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&fm=organic&iid=bfb6e4f6-1359-4203-b5dc-7c83909709a2.TVSG2CG7F2Y9YUJ3.SEARCH&ppt=None&ppn=None&ssid=g56nwhffog0000001674027040066&qH=97d6bdab4ad2b98f
13,realme 80 cm (32 inch) HD Ready LED Smart Android TV,"₹12,999",4.3,"2,40,599 Ratings & 26,939 Reviews",https://www.flipkart.com/realme-80-cm-32-inch-hd-ready-led-smart-android-tv/p/itm56d1cf16da75b?pid=TVSFRTJQTZVKTF6Y&lid=LSTTVSFRTJQTZVKTF6YHMHXRW&marketplace=FLIPKART&q=televisions&store=ckf%2Fczl&srno=s_1_14&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&fm=organic&iid=bfb6e4f6-1359-4203-b5dc-7c83909709a2.TVSFRTJQTZVKTF6Y.SEARCH&ppt=None&ppn=None&ssid=g56nwhffog0000001674027040066&qH=97d6bdab4ad2b98f
14,OnePlus Y1S 80 cm (32 inch) HD Ready LED Smart Android TV with Android 11 and Bezel-Less Frame,"₹14,999",4.3,"1,40,176 Ratings & 12,946 Reviews",https://www.flipkart.com/oneplus-y1s-80-cm-32-inch-hd-ready-led-smart-android-tv-11-bezel-less-frame/p/itm0a39edd7df236?pid=TVSGAXEVXNG9YBUM&lid=LSTTVSGAXEVXNG9YBUMLGWYAS&marketplace=FLIPKART&q=televisions&store=ckf%2Fczl&srno=s_1_15&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&fm=organic&iid=bfb6e4f6-1359-4203-b5dc-7c83909709a2.TVSGAXEVXNG9YBUM.SEARCH&ppt=None&ppn=None&ssid=g56nwhffog0000001674027040066&qH=97d6bdab4ad2b98f
15,Adsun Frameless 80 cm (32 inch) HD Ready LED Smart Android Based TV,"₹7,999",3.9,"14,923 Ratings & 2,249 Reviews",https://www.flipkart.com/adsun-frameless-80-cm-32-inch-hd-ready-led-smart-android-based-tv/p/itmdb08eafaa65fb?pid=TVSGAHZYMZNKZTUA&lid=LSTTVSGAHZYMZNKZTUAZYCLNZ&marketplace=FLIPKART&q=televisions&store=ckf%2Fczl&srno=s_1_16&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&fm=organic&iid=en_evB9NrYwAbdLazt5ylW7izuX%2FspnaeAEOGROLrDOQjQeQGxJk6mZkMywF5t44LtnyPd9lqVqQpo%2B6lDTXxbyCA%3D%3D&ppt=None&ppn=None&ssid=g56nwhffog0000001674027040066&qH=97d6bdab4ad2b98f
16,LG UQ7500 108 cm (43 inch) Ultra HD (4K) LED Smart WebOS TV 2022 Edition,"₹29,999",4.4,"11,460 Ratings & 1,405 Reviews",https://www.flipkart.com/lg-uq7500-108-cm-43-inch-ultra-hd-4k-led-smart-webos-tv-2022/p/itm39fd5782b27ed?pid=TVSGFGYS5TJRUJNV&lid=LSTTVSGFGYS5TJRUJNVLCTYNB&marketplace=FLIPKART&q=televisions&store=ckf%2Fczl&srno=s_1_17&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&fm=organic&iid=bfb6e4f6-1359-4203-b5dc-7c83909709a2.TVSGFGYS5TJRUJNV.SEARCH&ppt=None&ppn=None&ssid=g56nwhffog0000001674027040066&qH=97d6bdab4ad2b98f
17,LG 80 cm (32 inch) HD Ready LED Smart WebOS TV with Alpha5 Gen5 AI Processor | (Ceramic Black) (2022 M...,"₹15,490",4.4,"1,457 Ratings & 200 Reviews",https://www.flipkart.com/lg-80-cm-32-inch-hd-ready-led-smart-webos-tv-alpha5-gen5-ai-processor-ceramic-black-2022-model/p/itm8b9d3ae107cbd?pid=TVSGDQHFUJ3T7SQK&lid=LSTTVSGDQHFUJ3T7SQKQ7CL8R&marketplace=FLIPKART&q=televisions&store=ckf%2Fczl&srno=s_1_18&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&fm=organic&iid=bfb6e4f6-1359-4203-b5dc-7c83909709a2.TVSGDQHFUJ3T7SQK.SEARCH&ppt=None&ppn=None&ssid=g56nwhffog0000001674027040066&qH=97d6bdab4ad2b98f
18,Vu 108 cm (43 inch) Ultra HD (4K) LED Smart WebOS TV,"₹20,999",4.4,"25,408 Ratings & 3,951 Reviews",https://www.flipkart.com/vu-108-cm-43-inch-ultra-hd-4k-led-smart-webos-tv/p/itma19f5a1877178?pid=TVSGGSJA49G9F3Y9&lid=LSTTVSGGSJA49G9F3Y90AZOVH&marketplace=FLIPKART&q=televisions&store=ckf%2Fczl&srno=s_1_19&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&fm=organic&iid=bfb6e4f6-1359-4203-b5dc-7c83909709a2.TVSGGSJA49G9F3Y9.SEARCH&ppt=None&ppn=None&ssid=g56nwhffog0000001674027040066&qH=97d6bdab4ad2b98f
19,Adsun Frameless 80 cm (32 inch) HD Ready LED TV,"₹6,999",3.9,"14,923 Ratings & 2,249 Reviews",https://www.flipkart.com/adsun-frameless-80-cm-32-inch-hd-ready-led-tv/p/itm1cc397ee891f4?pid=TVSGK8P3YH3GGG6F&lid=LSTTVSGK8P3YH3GGG6FGPOHIM&marketplace=FLIPKART&q=televisions&store=ckf%2Fczl&srno=s_1_20&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&fm=organic&iid=en_evB9NrYwAbdLazt5ylW7izuX%2FspnaeAEOGROLrDOQjRGiMXlwOk7Se6ZiBMCOTusvDhZe%2Fmb8lApHQg4jO5DJQ%3D%3D&ppt=None&ppn=None&ssid=g56nwhffog0000001674027040066&qH=97d6bdab4ad2b98f
20,Thomson 9A Series 80 cm (32 inch) HD Ready LED Smart Android TV,"₹8,999",4.4,"90,316 Ratings & 18,828 Reviews",https://www.flipkart.com/thomson-9a-series-80-cm-32-inch-hd-ready-led-smart-android-tv/p/itmc9fc21690b634?pid=TVSFUYG8KB8GZAZA&lid=LSTTVSFUYG8KB8GZAZALMAHSC&marketplace=FLIPKART&q=televisions&store=ckf%2Fczl&srno=s_1_21&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&fm=organic&iid=bfb6e4f6-1359-4203-b5dc-7c83909709a2.TVSFUYG8KB8GZAZA.SEARCH&ppt=None&ppn=None&ssid=g56nwhffog0000001674027040066&qH=97d6bdab4ad2b98f
21,SAMSUNG 80 cm (32 inch) HD Ready LED Smart Tizen TV,"₹12,990",4.3,"76,045 Ratings & 6,739 Reviews",https://www.flipkart.com/samsung-80-cm-32-inch-hd-ready-led-smart-tizen-tv/p/itm6e40262f4572a?pid=TVSFQXFKMHUDYCJ3&lid=LSTTVSFQXFKMHUDYCJ3IOJXHJ&marketplace=FLIPKART&q=televisions&store=ckf%2Fczl&srno=s_1_22&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&fm=organic&iid=bfb6e4f6-1359-4203-b5dc-7c83909709a2.TVSFQXFKMHUDYCJ3.SEARCH&ppt=None&ppn=None&ssid=g56nwhffog0000001674027040066&qH=97d6bdab4ad2b98f
22,SAMSUNG Crystal 4K Neo Series 108 cm (43 inch) Ultra HD (4K) LED Smart Tizen TV with (Black) (2022 Mod...,"₹30,990",4.4,"16,059 Ratings & 1,735 Reviews",https://www.flipkart.com/samsung-crystal-4k-neo-series-108-cm-43-inch-ultra-hd-4k-led-smart-tizen-tv-black-2022-model/p/itma076c4dd16aa4?pid=TVSGEAGP9GXWCHCX&lid=LSTTVSGEAGP9GXWCHCXSVNDV5&marketplace=FLIPKART&q=televisions&store=ckf%2Fczl&srno=s_1_23&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&fm=organic&iid=bfb6e4f6-1359-4203-b5dc-7c83909709a2.TVSGEAGP9GXWCHCX.SEARCH&ppt=None&ppn=None&ssid=g56nwhffog0000001674027040066&qH=97d6bdab4ad2b98f
23,Adsun Smart Series 60 cm (24 inch) HD Ready LED Smart Android Based TV,"₹6,899",3.9,"14,923 Ratings & 2,249 Reviews",https://www.flipkart.com/adsun-smart-series-60-cm-24-inch-hd-ready-led-android-based-tv/p/itm6c4b3411aeb50?pid=TVSGAHZYEWJC9APV&lid=LSTTVSGAHZYEWJC9APVPDMHEN&marketplace=FLIPKART&q=televisions&store=ckf%2Fczl&srno=s_1_24&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&fm=organic&iid=en_evB9NrYwAbdLazt5ylW7izuX%2FspnaeAEOGROLrDOQjR%2B3kjDdGcnD28jAQRqlT5wmJ3YsHZISKPkZ%2BGiaawtAQ%3D%3D&ppt=None&ppn=None&ssid=g56nwhffog0000001674027040066&qH=97d6bdab4ad2b98f
